type;totem;color
tshirt;cavia;Bordeaux
hoodie;cavia;Bordeaux
sweater;cavia;Bordeaux
tshirt;cavia;Asphalt
hoodie;cavia;Asphalt
sweater;cavia;Asphalt
tshirt;cavia;Forest
hoodie;cavia;Forest
sweater;cavia;Forest
tshirt;cavia;Navy
hoodie;cavia;Navy
sweater;cavia;Navy
tshirt;penseelaapje;Bordeaux
hoodie;penseelaapje;Bordeaux
sweater;penseelaapje;Bordeaux
tshirt;penseelaapje;Asphalt
hoodie;penseelaapje;Asphalt
sweater;penseelaapje;Asphalt
tshirt;penseelaapje;Forest
hoodie;penseelaapje;Forest
sweater;penseelaapje;Forest
tshirt;penseelaapje;Navy
hoodie;penseelaapje;Navy
sweater;penseelaapje;Navy
